region,day_type,time_slice,feature,mae,mape_pct,mean_pems,mean_sl
high,weekday,am_peak,flow,1974.9357707509882,45.129045449116006,4376.196640316206,5967.373517786561
high,weekday,am_peak,speed,11.144664031620556,19.061590516527463,58.46660079051383,52.16403162055336
high,weekday,am_peak,density_proxy,64.92146536427647,76.40141536417853,84.9741657989172,130.21107823617803
high,weekday,am_peak,flow_diff1,819.294466403162,188.55814736229271,231.21245059288538,795.953557312253
high,weekday,am_peak,speed_diff1,5.649901185770751,179.15400281999058,-2.73705533596838,-3.4535573122529644
high,weekday,am_peak,hour_sin,0.0,0.0,0.8847645028150137,0.8847645028150137
high,weekday,am_peak,hour_cos,0.0,0.0,-0.3664814565722671,-0.3664814565722671
high,weekday,am_peak,dow_sin,0.0,0.0,0.3479115430774451,0.3479115430774451
high,weekday,am_peak,dow_cos,0.0,0.0,-0.1577536583204708,-0.1577536583204708
high,weekday,midday,flow,2458.018972332016,55.73978965332416,4409.810276679842,6572.294071146245
high,weekday,midday,speed,7.230197628458499,12.433693403190333,58.15003952569169,57.21106719367589
high,weekday,midday,density_proxy,57.35094836428777,70.74233685161457,81.07019207548106,119.79655622217754
high,weekday,midday,flow_diff1,452.7114624505929,497.54131118486214,62.872727272727275,39.3296442687747
high,weekday,midday,speed_diff1,3.560395256916996,381.9129992368354,0.08529644268774701,0.6956521739130435
high,weekday,midday,hour_sin,0.0,0.0,1.1330418377795077e-16,1.1330418377795077e-16
high,weekday,midday,hour_cos,0.0,0.0,-0.9327804920294027,-0.9327804920294027
high,weekday,midday,dow_sin,0.0,0.0,0.34791154307744515,0.34791154307744515
high,weekday,midday,dow_cos,0.0,0.0,-0.1577536583204708,-0.1577536583204708
high,weekday,off_peak,flow,1201.5318914956013,56.25627197605154,2135.8185483870966,2705.659090909091
high,weekday,off_peak,speed,2.8377932551319653,4.221518045128772,67.22210410557184,66.15395894428153
high,weekday,off_peak,density_proxy,19.65162409593723,62.2846464987757,31.551313526879394,42.51884987025633
high,weekday,off_peak,flow_diff1,446.06964809384164,76.71737750310021,-82.32954545454545,-252.1184017595308
high,weekday,off_peak,speed_diff1,2.1876099706744867,228.56376867100724,0.8191348973607038,1.3980938416422288
high,weekday,off_peak,hour_sin,0.0,0.0,0.013297891356300554,0.013297891356300554
high,weekday,off_peak,hour_cos,0.0,0.0,0.6911470465174027,0.6911470465174027
high,weekday,off_peak,dow_sin,0.0,0.0,0.36367354473460245,0.36367354473460245
high,weekday,off_peak,dow_cos,0.0,0.0,-0.1427694807079315,-0.1427694807079315
high,weekday,pm_peak,flow,2253.9581205311542,49.75387151804634,4530.216547497446,6367.545454545455
high,weekday,pm_peak,speed,10.727374872318691,18.97257836366231,56.5414708886619,51.550561797752806
high,weekday,pm_peak,density_proxy,66.63127509197737,77.87194351406498,85.5651882888253,131.24127891985458
high,weekday,pm_peak,flow_diff1,411.7977528089888,665.4067704293001,-27.55771195097038,-71.37180796731359
