region,feature_group,time_slice,day_type,n_pairs,energy,wasserstein,mmd,flow_error_abs,flow_error_pct,speed_error_abs,speed_error_pct,mean_flow_pems,mean_flow_sl,mean_speed_pems,mean_speed_sl
high,all,am_peak,weekday,1012,0.4342264259597055,0.4005119119180101,0.0688457059078369,1974.9357707509882,45.129045449116006,11.144664031620556,19.061590516527463,4376.196640316206,5967.373517786561,58.46660079051383,52.16403162055336
high,all,am_peak,weekend,352,0.19277244847357355,0.27038930240825687,0.030691905436861178,1158.84375,39.380835978590795,2.775568181818182,4.201210911968077,2942.659090909091,3414.150568181818,66.06590909090909,66.9971590909091
high,all,midday,weekday,1265,0.42537595862998323,0.40594371521716466,0.0655953512415044,2458.018972332016,55.73978965332416,7.230197628458499,12.433693403190333,4409.810276679842,6572.294071146245,58.15003952569169,57.21106719367589
high,all,midday,weekend,440,0.28441156413488233,0.3317179859909176,0.04530407467724845,1884.8363636363636,41.211629705162686,6.91409090909091,11.46425287529582,4573.554545454545,6076.463636363636,60.31,59.95454545454545
high,all,off_peak,weekday,2728,0.10631348216521186,0.19976201920734243,0.019258143072966694,1201.5318914956013,56.25627197605154,2.8377932551319653,4.221518045128772,2135.8185483870966,2705.659090909091,67.22210410557184,66.15395894428153
high,all,off_peak,weekend,968,0.13860779364056164,0.22150712357384666,0.024739605827550526,1095.9597107438017,50.550394629757044,2.9857438016528923,4.453532377559448,2168.0537190082646,2544.180785123967,67.04214876033058,66.02685950413223
high,all,pm_peak,weekday,979,0.4835522978062663,0.41227270663681087,0.06842898861926577,2253.9581205311542,49.75387151804634,10.727374872318691,18.97257836366231,4530.216547497446,6367.545454545455,56.5414708886619,51.550561797752806
high,all,pm_peak,weekend,352,0.4347901390899249,0.3904747183874355,0.06315988193487432,2067.431818181818,46.25832697686245,7.036363636363635,11.451609920289988,4469.318181818182,5971.9375,61.44431818181818,58.20738636363637
low,all,am_peak,weekday,828,0.28044712523618687,0.2851394259103669,0.05192156588166008,679.6690821256038,52.852398787364244,2.591545893719807,3.874320215508837,1285.975845410628,1185.193236714976,66.8903381642512,64.95531400966183
low,all,am_peak,weekend,288,0.13116700350099375,0.2204413643610701,0.0407290813853215,289.2638888888889,47.44380470747695,1.6291666666666664,2.4141514967533464,609.6979166666666,632.1909722222222,67.48402777777778,67.48263888888889
low,all,midday,weekday,1035,0.34413619340559,0.36453108459781014,0.04250367677509065,778.2,56.81185446845549,3.0716908212560385,4.647477597321911,1369.784541062802,1733.584541062802,66.09371980676329,64.06280193236715
